_time,Pressure,Temperature
2020-01-01T14:40:06.142Z,35,107
2020-01-01T14:40:06.144Z,21,137
2020-01-01T14:40:06.146Z,198,177
2020-01-01T14:40:06.148Z,70,127
2020-01-01T14:40:06.150Z,173,51
2020-01-01T14:40:06.152Z,141,118
2020-01-01T14:40:06.154Z,98,28
2020-01-01T14:40:06.156Z,6,49
2020-01-01T14:40:06.158Z,111,111
2020-01-01T14:40:06.160Z,130,149
2020-01-01T14:40:06.162Z,50,60
2020-01-01T14:40:06.164Z,11,153
2020-01-01T14:40:06.166Z,156,65
2020-01-01T14:40:06.168Z,100,188
2020-01-01T14:40:06.170Z,106,13
2020-01-01T14:40:06.172Z,43,118
2020-01-01T14:40:06.174Z,47,49
2020-01-01T14:40:06.176Z,163,177
2020-01-01T14:40:06.178Z,63,119
2020-01-01T14:40:06.180Z,58,11
2020-01-01T14:40:06.182Z,92,119
2020-01-01T14:40:06.184Z,86,154
2020-01-01T14:40:06.186Z,37,26
2020-01-01T14:40:06.188Z,12,151
2020-01-01T14:40:06.190Z,56,123
2020-01-01T14:40:06.192Z,145,9
2020-01-01T14:40:06.194Z,87,52
2020-01-01T14:40:06.196Z,156,150
2020-01-01T14:40:06.198Z,22,84
2020-01-01T14:40:06.200Z,77,89
2020-01-01T14:40:06.202Z,96,43
2020-01-01T14:40:06.204Z,72,44
2020-01-01T14:40:06.206Z,90,183
2020-01-01T14:40:06.208Z,42,168
2020-01-01T14:40:06.210Z,178,54
2020-01-01T14:40:06.212Z,82,106
2020-01-01T14:40:06.214Z,137,53
2020-01-01T14:40:06.216Z,102,108
2020-01-01T14:40:06.218Z,53,155
2020-01-01T14:40:06.220Z,174,149
2020-01-01T14:40:06.222Z,18,172
2020-01-01T14:40:06.224Z,111,130
2020-01-01T14:40:06.226Z,150,80
2020-01-01T14:40:06.228Z,46,6
2020-01-01T14:40:06.230Z,13,78
2020-01-01T14:40:06.232Z,98,13
2020-01-01T14:40:06.234Z,140,18
2020-01-01T14:40:06.236Z,159,149
2020-01-01T14:40:06.238Z,105,102
2020-01-01T14:40:06.240Z,63,52
2020-01-01T14:40:06.242Z,119,57
2020-01-01T14:40:06.244Z,135,128
2020-01-01T14:40:06.246Z,114,199
2020-01-01T14:40:06.248Z,55,119
2020-01-01T14:40:06.250Z,169,200
2020-01-01T14:40:06.252Z,10,91
2020-01-01T14:40:06.254Z,67,62
2020-01-01T14:40:06.256Z,152,191
2020-01-01T14:40:06.258Z,91,97
2020-01-01T14:40:06.260Z,38,192
2020-01-01T14:40:06.262Z,31,193
2020-01-01T14:40:06.264Z,102,38
2020-01-01T14:40:06.266Z,108,188
2020-01-01T14:40:06.268Z,195,194
2020-01-01T14:40:06.270Z,25,101
2020-01-01T14:40:06.272Z,80,100
2020-01-01T14:40:06.274Z,39,62
2020-01-01T14:40:06.276Z,6,180
2020-01-01T14:40:06.278Z,100,164
2020-01-01T14:40:06.280Z,58,82
2020-01-01T14:40:06.282Z,110,80
2020-01-01T14:40:06.284Z,192,69
2020-01-01T14:40:06.286Z,94,7
2020-01-01T14:40:06.288Z,55,152
2020-01-01T14:40:06.290Z,64,63
2020-01-01T14:40:06.292Z,173,58
2020-01-01T14:40:06.294Z,67,85
2020-01-01T14:40:06.296Z,62,41
2020-01-01T14:40:06.298Z,174,133
2020-01-01T14:40:06.300Z,127,155
2020-01-01T14:40:06.302Z,88,91
2020-01-01T14:40:06.304Z,98,38
2020-01-01T14:40:06.306Z,110,27
2020-01-01T14:40:06.308Z,139,198
2020-01-01T14:40:06.310Z,119,74
2020-01-01T14:40:06.312Z,149,186
2020-01-01T14:40:06.314Z,109,81
2020-01-01T14:40:06.316Z,8,113
2020-01-01T14:40:06.318Z,166,126
2020-01-01T14:40:06.320Z,30,100
2020-01-01T14:40:06.322Z,137,64
2020-01-01T14:40:06.324Z,155,80
2020-01-01T14:40:06.326Z,119,102
2020-01-01T14:40:06.328Z,67,105
2020-01-01T14:40:06.330Z,124,131
2020-01-01T14:40:06.332Z,76,100
2020-01-01T14:40:06.334Z,197,125
2020-01-01T14:40:06.336Z,19,70
2020-01-01T14:40:06.338Z,25,130
2020-01-01T14:40:06.340Z,155,54
2020-01-01T14:40:06.342Z,28,141
2020-01-01T14:40:06.344Z,142,178
2020-01-01T14:40:06.346Z,163,104
2020-01-01T14:40:06.348Z,192,2
2020-01-01T14:40:06.350Z,59,147
2020-01-01T14:40:06.352Z,95,122
2020-01-01T14:40:06.354Z,190,193
2020-01-01T14:40:06.356Z,77,30
2020-01-01T14:40:06.358Z,115,108
2020-01-01T14:40:06.360Z,122,127
2020-01-01T14:40:06.362Z,159,103
2020-01-01T14:40:06.364Z,193,127
2020-01-01T14:40:06.366Z,178,36
2020-01-01T14:40:06.368Z,56,33
2020-01-01T14:40:06.370Z,128,161
2020-01-01T14:40:06.372Z,101,171
2020-01-01T14:40:06.374Z,199,35
2020-01-01T14:40:06.376Z,169,120
2020-01-01T14:40:06.378Z,122,94
2020-01-01T14:40:06.380Z,21,39
2020-01-01T14:40:06.382Z,148,161
2020-01-01T14:40:06.384Z,187,195
2020-01-01T14:40:06.386Z,53,124
2020-01-01T14:40:06.388Z,62,131
2020-01-01T14:40:06.390Z,75,87
2020-01-01T14:40:06.392Z,77,32
2020-01-01T14:40:06.394Z,88,49
2020-01-01T14:40:06.396Z,105,163
2020-01-01T14:40:06.398Z,17,142
2020-01-01T14:40:06.400Z,135,16
2020-01-01T14:40:06.402Z,1,75
2020-01-01T14:40:06.404Z,52,167
2020-01-01T14:40:06.406Z,109,101
2020-01-01T14:40:06.408Z,47,154
2020-01-01T14:40:06.410Z,88,16
2020-01-01T14:40:06.412Z,171,85
2020-01-01T14:40:06.414Z,38,95
2020-01-01T14:40:06.416Z,176,114
2020-01-01T14:40:06.418Z,112,88
2020-01-01T14:40:06.420Z,164,173
2020-01-01T14:40:06.422Z,31,135
2020-01-01T14:40:06.424Z,24,5
2020-01-01T14:40:06.426Z,17,189
2020-01-01T14:40:06.428Z,55,11
2020-01-01T14:40:06.430Z,176,43
2020-01-01T14:40:06.432Z,40,148
2020-01-01T14:40:06.434Z,80,108
2020-01-01T14:40:06.436Z,73,10
2020-01-01T14:40:06.438Z,44,31
2020-01-01T14:40:06.440Z,71,199
2020-01-01T14:40:06.442Z,71,134
2020-01-01T14:40:06.444Z,48,108
2020-01-01T14:40:06.446Z,62,83
2020-01-01T14:40:06.448Z,143,12
2020-01-01T14:40:06.450Z,31,71
2020-01-01T14:40:06.452Z,31,157
2020-01-01T14:40:06.454Z,91,92
2020-01-01T14:40:06.456Z,136,101
2020-01-01T14:40:06.458Z,110,100
2020-01-01T14:40:06.460Z,100,107
2020-01-01T14:40:06.462Z,9,10
2020-01-01T14:40:06.464Z,72,20
2020-01-01T14:40:06.466Z,45,46
2020-01-01T14:40:06.468Z,30,48
2020-01-01T14:40:06.470Z,88,117
2020-01-01T14:40:06.472Z,21,181
2020-01-01T14:40:06.474Z,191,129
2020-01-01T14:40:06.476Z,24,140
2020-01-01T14:40:06.478Z,109,174
2020-01-01T14:40:06.480Z,189,179
2020-01-01T14:40:06.482Z,9,77
2020-01-01T14:40:06.484Z,186,23
2020-01-01T14:40:06.486Z,61,161
2020-01-01T14:40:06.488Z,133,181
2020-01-01T14:40:06.490Z,147,111
2020-01-01T14:40:06.492Z,52,179
2020-01-01T14:40:06.494Z,179,23
2020-01-01T14:40:06.496Z,123,89
2020-01-01T14:40:06.498Z,22,157
2020-01-01T14:40:06.500Z,84,5
2020-01-01T14:40:06.502Z,6,161
2020-01-01T14:40:06.504Z,105,141
2020-01-01T14:40:06.506Z,148,57
2020-01-01T14:40:06.508Z,36,175
2020-01-01T14:40:06.510Z,154,63
2020-01-01T14:40:06.512Z,130,107
2020-01-01T14:40:06.514Z,98,13
2020-01-01T14:40:06.516Z,145,42
2020-01-01T14:40:06.518Z,13,77
2020-01-01T14:40:06.520Z,90,157
2020-01-01T14:40:06.522Z,128,67
2020-01-01T14:40:06.524Z,15,23
2020-01-01T14:40:06.526Z,73,182
2020-01-01T14:40:06.528Z,140,145
2020-01-01T14:40:06.530Z,49,136
2020-01-01T14:40:06.532Z,130,34
2020-01-01T14:40:06.534Z,68,183
2020-01-01T14:40:06.536Z,120,66
2020-01-01T14:40:06.538Z,137,40
2020-01-01T14:40:06.540Z,87,149
2020-01-01T14:40:06.542Z,38,165
2020-01-01T14:40:06.544Z,38,144
2020-01-01T14:40:06.546Z,80,56
2020-01-01T14:40:06.548Z,144,12
2020-01-01T14:40:06.550Z,163,25
2020-01-01T14:40:06.552Z,80,65
2020-01-01T14:40:06.554Z,3,52
2020-01-01T14:40:06.556Z,187,187
2020-01-01T14:40:06.558Z,28,95
2020-01-01T14:40:06.560Z,3,14
2020-01-01T14:40:06.562Z,176,35
2020-01-01T14:40:06.564Z,57,17
2020-01-01T14:40:06.566Z,59,183
2020-01-01T14:40:06.568Z,164,13
2020-01-01T14:40:06.570Z,82,140
2020-01-01T14:40:06.572Z,185,154
2020-01-01T14:40:06.574Z,89,91
2020-01-01T14:40:06.576Z,103,5
2020-01-01T14:40:06.578Z,162,75
2020-01-01T14:40:06.580Z,109,171
2020-01-01T14:40:06.582Z,27,81
2020-01-01T14:40:06.584Z,180,145
2020-01-01T14:40:06.586Z,31,50
2020-01-01T14:40:06.588Z,193,64
2020-01-01T14:40:06.590Z,21,137
2020-01-01T14:40:06.592Z,3,66
2020-01-01T14:40:06.594Z,193,65
2020-01-01T14:40:06.596Z,162,96
2020-01-01T14:40:06.598Z,120,43
2020-01-01T14:40:06.600Z,85,42
2020-01-01T14:40:06.602Z,8,145
2020-01-01T14:40:06.604Z,197,117
2020-01-01T14:40:06.606Z,33,58
2020-01-01T14:40:06.608Z,190,12
2020-01-01T14:40:06.610Z,192,65
2020-01-01T14:40:06.612Z,186,41
2020-01-01T14:40:06.614Z,115,88
2020-01-01T14:40:06.616Z,139,135
2020-01-01T14:40:06.618Z,126,111
2020-01-01T14:40:06.620Z,75,57
2020-01-01T14:40:06.622Z,116,159
2020-01-01T14:40:06.624Z,127,22
2020-01-01T14:40:06.626Z,168,80
2020-01-01T14:40:06.628Z,196,64
2020-01-01T14:40:06.630Z,37,181
2020-01-01T14:40:06.632Z,64,179
